,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Gwarancja dealerska (w cenie),Kraj pochodzenia,Bezwypadkowy,Stan,Numer rejestracyjny pojazdu,Pierwszy właściciel,Rodzaj koloru,Serwisowany w ASO,Zarejestrowany w Polsce,Pierwsza rejestracja,Tuning,Uszkodzony,VAT marża,Okres gwarancji producenta,VIN,lub do (przebieg km)
0,Firmy,Motocykle,CF Moto,X6,2022,1 km,800 cm3,64 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,24 miesięcy,Szwecja,Tak,Nowe,,,,,,,,,,,,
1,Osoby prywatnej,Motocykle,Harley-Davidson,Fat Bob,2019,4 900 km,1 868 cm3,94 KM,Łańcuch,Dwusuwowy,Benzyna,Manualna,Chopper,Czarny,,Tak,,,Polska,Tak,Używane,KK247R,Tak,Perłowy,Tak,Tak,,,,,,,
2,Osoby prywatnej,Motocykle,Harley-Davidson,Road King,2018,7 075 km,1 746 cm3,90 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Cruiser,Czarny,,,,,Stany Zjednoczone,,Używane,WK 138C,Tak,Metalik,,Tak,01/01/2018,,,,,,
3,Osoby prywatnej,Motocykle,Honda,CBF,2008,33 056 km,599 cm3,33 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Turystyczny,Szary,,,,,Niemcy,Tak,Używane,GD551Y,,,,Tak,17/06/2008,,,,,,
4,Osoby prywatnej,Motocykle,Suzuki,GSX-R,2005,36 000 km,599 cm3,125 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Sportowy,Niebieski,,,,,,Tak,Używane,SJZ 1WM4,,,,,11/05/2004,,,,,,
5,Firmy,Motocykle,Polaris,Sportsman,2022,1 km,567 cm3,44 KM,,Czterosuwowy,Benzyna,Automatyczna,Quad,Brązowy,Tak,Tak,Tak,,Polska,Tak,Nowe,,,Matowy,,,,,,,,,
6,Firmy,Motocykle,CF Moto,C-Force,2021,1 km,800 cm3,62 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,24 miesięcy,Inny,Tak,Nowe,,,Metalik,,,,,,,,,
7,Firmy,Motocykle,CF Moto,C-Force,2022,1 km,495 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czerwony,Tak,Tak,Tak,24 miesięcy,Inny,Tak,Nowe,,,Metalik,,,,,,,,,
8,Osoby prywatnej,Motocykle,Indian,Scout,2021,1 500 km,1 133 cm3,100 KM,Pas napędowy,,Benzyna,,Chopper,Inny kolor,,,,,,,Używane,,,Matowy,,Tak,,,,,,,
9,Osoby prywatnej,Motocykle,Yamaha,XJR,2013,14 000 km,1 251 cm3,100 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Czarny,,,,,,Tak,Używane,TLW75UF,Tak,,,Tak,29/03/2018,,,,,,
10,Osoby prywatnej,Motocykle,Honda,CRF,2014,24 km,450 cm3,,Łańcuch,Czterosuwowy,Benzyna,Manualna,Krosowy,Czerwony,,,,,Inny,Tak,Używane,,,,,,,,,,,,
11,Osoby prywatnej,Motocykle,Honda,Varadero,2008,22 823 km,125 cm3,15 KM,Łańcuch,Czterosuwowy,Benzyna,,Turystyczny,Srebrny,,,,,Wielka Brytania,Tak,Używane,SZY8VS7,Tak,Metalik,,Tak,30/09/2008,Tak,,,,,
12,Osoby prywatnej,Motocykle,Triumph,Thunderbird,2017,2 060 km,1 699 cm3,98 KM,Pas napędowy,,Benzyna,,Cruiser,Czarny,,Tak,,,Polska,Tak,Używane,ZS 485L,Tak,,Tak,Tak,,,,,,,
13,Osoby prywatnej,Motocykle,Kawasaki,Vulcan,1998,61 000 km,800 cm3,,,Dwusuwowy,Benzyna,,Chopper,Inny kolor,,,,,,Tak,Używane,DX1451,,Matowy,,Tak,,,,,,,
