,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Rok produkcji,Przebieg,Pojemność skokowa,Moc,Rodzaj napędu,Typ Silnika,Rodzaj paliwa,Skrzynia biegów,Typ nadwozia,Kolor,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Bezwypadkowy,Stan,price,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Rodzaj koloru,Pierwsza rejestracja,Serwisowany w ASO,Pierwszy właściciel,Gwarancja dealerska (w cenie),Tuning,VAT marża,Okres gwarancji producenta,Liczba pozostałych rat,Miesięczna rata,Opłata początkowa,Wartość wykupu,lub do (przebieg km),Uszkodzony,VIN,Zarejestrowany jako zabytek
0,Firmy,Motocykle,Kymco,MXU,2021,1 km,695 cm3,40 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Czarny,Tak,Tak,Tak,Inny,Tak,Nowe,45900,,,,,,,,,,,,,,,,,,
1,Firmy,Motocykle,Segway,Fugleman UT10,2021,1 km,1 000 cm3,105 KM,Wał kardana,Czterosuwowy,Benzyna,Bezstopniowa,Quad,Inny kolor,Tak,Tak,Tak,,Tak,Nowe,76990,,,,,,,,,,,,,,,,,,
2,Osoby prywatnej,Motocykle,Yamaha,FZ,2010,33 668 km,998 cm3,150 KM,Łańcuch,Czterosuwowy,Benzyna,Manualna,Naked,Biały,,,,Francja,,Używane,20500,PK 6785,Tak,,,,,,,,,,,,,,,,
3,Osoby prywatnej,Motocykle,Ducati,Multistrada,2010,56 000 km,,,,,Benzyna,,Turystyczny,Biały,,,,,,Używane,32000,,,Metalik,,,,,,,,,,,,,,,
4,Osoby prywatnej,Motocykle,Kawasaki,ZX,2007,16 000 km,250 cm3,,,,Benzyna,,Sportowy,Niebieski,,,,,Tak,Używane,4999,,Tak,Metalik,,,,,,,,,,,,,,,
5,Osoby prywatnej,Motocykle,Inny,Inny,2019,3 000 km,,,,Elektryczny,Elektryczny,,Skuter,Inny kolor,,Tak,,,Tak,Używane,3500,,Tak,Matowy,,,,,,,,,,,,,,,
6,Osoby prywatnej,Motocykle,Honda,XR,2002,10 km,,,,Czterosuwowy,Benzyna,,Krosowy,Czerwony,,,,,,Używane,7500,,,,,,,,,,,,,,,,,,
7,Osoby prywatnej,Motocykle,Honda,NSS,2014,15 550 km,279 cm3,26 KM,,Czterosuwowy,Benzyna,Bezstopniowa,Skuter,Biały,,,,Polska,Tak,Używane,14950,WW1421,Tak,,24/06/2015,Tak,,,,,,,,,,,,,
8,Osoby prywatnej,Motocykle,Harley-Davidson,Fat Bob,2018,5 700 km,1 868 cm3,86 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Stany Zjednoczone,,Używane,71500,,Tak,Perłowy,,,Tak,,,,,,,,,,,,
9,Osoby prywatnej,Motocykle,Harley-Davidson,Sportster,2019,5 080 km,1 200 cm3,,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Czarny,,,,Stany Zjednoczone,,Używane,43900,,Tak,Metalik,,,,,,,,,,,,,,,
10,Firmy,Motocykle,CF Moto,ZForce,2021,,1 000 cm3,80 KM,Wał kardana,Czterosuwowy,Benzyna,Automatyczna,Quad,Szary,Tak,Tak,Tak,Inny,Tak,Nowe,87900,,,Metalik,,,,24 miesięcy,,,,,,,,,,,
11,Osoby prywatnej,Motocykle,Harley-Davidson,Road Glide,2013,55 000 km,1 700 cm3,88 KM,Pas napędowy,Czterosuwowy,Benzyna,Manualna,Chopper,Bordowy,,,,Stany Zjednoczone,Tak,Używane,82500,GD25E4,Tak,Perłowy,01/01/2013,,,,Tak,,,,,,,,,,
